"id","plot","trt","spp","rep","focal","allometry_method","total_leaf_area_cm2","leaf_length_cm","stem_length_cm","dry_biomass_g","sla_cm2g","sla_mm2mg","notes.x","time","FmPrime","FoPrime","Fs","FvP_over_FmP","leaf_thickness","LEF","PAR","NPQt","Phi2","PhiNO","PhiNPQ","PS1.Active.Centers","PS1.Open.Centers","PS1.Over.Reduced.Centers","PS1.Oxidized.Centers","qL","SPAD"
"plot3_amb_mai_sla_01",3,"amb","mai",1,"n","manual",88.041,7.7,13.9,0.2452,359.058,35.906,NA,"6/27/24 10:13",59.27,44,57,0.258,0.26,0.54,31.418,13.058,0.038,0.068,0.893,0.621,-0.038,0.685,0.353,0.115,44.003
"plot3_amb_mai_sla_02",3,"amb","mai",2,"n","manual",466.143,16.9,55.1,1.3016,358.131,35.813,NA,"6/27/24 10:15",58.47,48,60.67,0.179,0.4,-0.19,11.108,21.379,-0.038,0.046,0.991,0.293,0.445,0.488,0.067,-0.166,43.382
"plot3_amb_mai_sla_03",3,"amb","mai",3,"n","manual",451.924,15.1,50.4,1.2012,376.227,37.623,NA,"6/27/24 10:22",55.83,43,58.33,0.23,0.6,-1.09,53.812,15.351,-0.045,0.064,0.981,0.045,-0.495,-5.368,6.862,-0.144,41.29
"plot3_amb_mai_sla_04",3,"amb","mai",4,"n","manual",451.325,14.6,47.4,1.2166,370.972,37.097,NA,"6/27/24 10:27",57.76,42,57.67,0.273,0.36,0.08,90.284,12.008,0.002,0.077,0.922,0.452,-0.01,0.542,0.468,0.004,37.172
"plot3_amb_mai_sla_05",3,"amb","mai",5,"n","manual",514.492,15.9,50.5,1.5527,331.353,33.135,NA,"6/27/24 10:32",61.4,51,60.67,0.169,0.73,0.49,91.185,22.919,0.012,0.041,0.947,0.687,0.047,0.692,0.262,0.06,44.636
"plot3_amb_tri_sla_01",3,"amb","tri",1,"n","imagej",297.57,14.5,NA,0.5518,539.271,53.927,NA,"6/6/24 10:59",57.56,41,58.67,0.288,0.67,-2.15,251.941,11.084,-0.019,0.084,0.935,-0.522,-0.238,1.236,0.002,-0.047,41.76
"plot3_amb_tri_sla_02",3,"amb","tri",2,"n","imagej",180.348,14,NA,0.4266,422.757,42.276,NA,"6/6/24 11:02",55.67,39,55,0.299,0.43,0.04,7.996,10.419,0.012,0.087,0.902,-0.518,-0.067,4.058,-2.991,0.028,39.434
"plot3_amb_tri_sla_03",3,"amb","tri",3,"n","imagej",202.28,10.5,NA,0.392,516.02,51.602,NA,"6/6/24 11:03",55.83,42,56.67,0.248,0.83,-5.95,881.027,13.816,-0.015,0.069,0.946,-0.395,-0.329,2.769,-1.44,-0.045,45.043
"plot3_amb_tri_sla_04",3,"amb","tri",4,"n","imagej",396.345,13.4,NA,0.7961,497.858,49.786,NA,"6/6/24 11:05",55.77,43,54,0.229,0.57,0.05,3.819,15.427,0.032,0.059,0.909,0.679,0.112,0.876,0.012,0.111,39.279
"plot3_amb_tri_sla_05",3,"amb","tri",5,"n","imagej",48.753,7.4,NA,0.0634,768.975,76.897,NA,"6/6/24 11:06",57.61,45,56,0.219,1.81,0.03,2.343,16.41,0.028,0.056,0.916,0.574,0.833,-0.999,1.166,0.103,33.579
"plot3_weed_mai_sla_01",3,"weed","mai",1,"n","manual",211.903,10.7,23.8,0.4534,467.364,46.736,NA,"6/27/24 10:44",58.22,48,57,0.176,0.33,0.03,2.753,21.915,0.021,0.043,0.936,0.432,0.087,0.554,0.358,0.101,31.817
"plot3_weed_mai_sla_02",3,"weed","mai",2,"n","manual",658.03,18.6,64.8,1.8407,357.489,35.749,NA,"6/27/24 10:56",60.87,43,59,0.294,0.46,0.2,14.081,10.745,0.031,0.083,0.887,0.571,0.112,0.537,0.351,0.076,41.767
"plot3_weed_mai_sla_03",3,"weed","mai",3,"n","manual",356.628,14.5,45.7,0.967,368.798,36.88,NA,"6/27/24 11:04",62.3,46,62.33,0.262,0.61,0,2.952,12.773,-0.001,0.073,0.928,0.055,0.837,-3.995,4.158,-0.002,40.411
"plot3_weed_mai_sla_04",3,"weed","mai",4,"n","manual",210.65,11.6,31.4,0.3715,567.026,56.703,"some fungal fruiting bodies (white) visible on some leaves","6/27/24 11:11",60.64,43,61.33,0.291,0.19,-0.01,2.009,10.896,-0.011,0.085,0.926,0.116,-0.943,-1.17,3.112,-0.028,22.317
"plot3_weed_mai_sla_05",3,"weed","mai",5,"n","manual",351.114,13.2,34.1,0.7421,473.136,47.314,NA,"6/27/24 11:21",60.46,50,62.67,0.173,0.35,-0.11,6.651,22.327,-0.036,0.044,0.992,-0.73,0.039,1.094,-0.133,-0.168,35.1
"plot3_weed_tri_sla_01",3,"weed","tri",1,"n","imagej",398.553,14.9,NA,0.7348,542.397,54.24,NA,"6/6/24 11:12",59.94,44,56,0.266,0.81,0.14,4.686,12.467,0.066,0.069,0.865,-0.535,1.156,2.713,-2.869,0.194,34.59
"plot3_weed_tri_sla_02",3,"weed","tri",2,"n","imagej",155.523,9.9,NA,0.3261,476.918,47.692,NA,"6/6/24 11:17",60.56,43,57.67,0.29,0.29,0.29,13.249,10.952,0.048,0.08,0.873,-0.992,-0.369,1.69,-0.321,0.123,41.226
"plot5_amb_mai_sla_01",5,"amb","mai",1,"n","manual",677.699,18,56.8,1.695,399.822,39.982,NA,"6/27/24 11:46",61.47,49,62,0.203,0.67,-0.08,18.816,18.176,-0.009,0.053,0.956,0.133,0.163,-0.552,1.389,-0.034,37.882
"plot5_amb_mai_sla_02",5,"amb","mai",2,"n","manual",579.823,16.6,50.1,1.4371,403.467,40.347,NA,"6/27/24 11:53",57.28,47,57.33,0.179,0.35,-0.01,13.986,21.316,-0.001,0.045,0.956,0.077,0.77,-3.21,3.44,-0.004,38.23
"plot5_amb_mai_sla_03",5,"amb","mai",3,"n","manual",963.866,20.2,76.9,2.9131,330.873,33.087,NA,"6/27/24 12:09",64.14,45,63.67,0.298,0.59,0.11,33.651,10.471,0.007,0.087,0.906,1.294,0.119,1.12,-0.239,0.018,49.838
"plot5_amb_mai_sla_04",5,"amb","mai",4,"n","manual",70.345,8.4,15.2,0.1558,451.508,45.151,NA,"6/27/24 12:16",58.94,47,61,0.203,0.2,-0.2,12.998,18.202,-0.035,0.054,0.981,0.502,0.022,0.461,0.517,-0.133,40.049
"plot5_amb_mai_sla_05",5,"amb","mai",5,"n","manual",256.559,13.1,26.5,0.6006,427.171,42.717,NA,"6/27/24 12:19",59.52,44,58.33,0.261,0.29,0.17,19.337,12.834,0.02,0.071,0.909,0.574,0.447,0.599,-0.046,0.058,39.038
"plot5_amb_mai_sla_06",5,"amb","mai",6,"n","manual",336.354,13.3,36.7,0.7517,447.458,44.746,NA,"6/27/24 12:24",57.72,45,60,0.22,0.21,-0.03,1.495,16.261,-0.039,0.06,0.979,-0.281,-0.392,1.982,-0.59,-0.134,37.194
"plot5_amb_mai_sla_07",5,"amb","mai",7,"n","manual",853.839,19.6,69.6,2.4974,341.891,34.189,NA,"6/27/24 12:29",62.59,46,59.33,0.265,0.45,0.73,31.191,12.534,0.052,0.07,0.878,0.628,0.072,0.114,0.814,0.152,46.473
"plot5_amb_tri_sla_01",5,"amb","tri",1,"n","imagej",542.517,16.6,NA,1.3256,409.261,40.926,NA,"6/8/24 12:03",63.7,48,63,0.246,0.18,0.06,12.302,13.924,0.011,0.066,0.923,0.762,-0.058,0.674,0.384,0.034,44.356
"plot5_amb_tri_sla_10",5,"amb","tri",10,"n","imagej",515.398,16,NA,0.9265,556.285,55.628,"no leaf tip on some leaves (wilted off)","6/8/24 12:47",60.97,47,58,0.229,0.57,0.06,2.894,15.423,0.049,0.058,0.893,-7.908,-0.162,1.011,0.151,0.172,37.753
"plot5_amb_tri_sla_02",5,"amb","tri",2,"n","imagej",413.623,15.1,NA,0.963,429.515,42.952,"no leaf tip on some leaves (wilted off)","6/8/24 12:11",57.44,47,61,0.182,1.8,-0.45,15.967,20.96,-0.062,0.048,1.014,-4.777,-1.142,1.421,0.721,-0.262,46.517
"plot5_amb_tri_sla_03",5,"amb","tri",3,"n","imagej",700.135,18.7,NA,1.766,396.452,39.645,NA,"6/8/24 12:12",57.78,53,59.33,0.083,0.91,-0.37,30.617,53.134,-0.027,0.019,1.008,1.263,-0.251,-0.042,1.293,-0.291,44.617
"plot5_amb_tri_sla_04",5,"amb","tri",4,"n","imagej",591.108,17.5,NA,1.3253,446.018,44.602,"no leaf tip on some leaves (wilted off)","6/8/24 12:14",59.87,49,59.67,0.182,0.26,0.03,22.152,20.993,0.003,0.045,0.951,1.133,0.062,0.786,0.152,0.016,44.75
"plot5_amb_tri_sla_05",5,"amb","tri",5,"n","imagej",150.912,11.1,NA,0.2993,504.217,50.422,NA,"6/8/24 12:18",61.99,48,58.67,0.226,0.71,0.36,14.953,15.742,0.054,0.057,0.89,1.62,0.283,0.93,-0.213,0.194,42.585
"plot5_amb_tri_sla_06",5,"amb","tri",6,"n","imagej",485.984,16.9,NA,0.9621,505.128,50.513,NA,"6/8/24 12:19",64.27,47,58.33,0.269,0.41,0.38,9.17,12.279,0.092,0.068,0.839,-1.888,-0.061,1.463,-0.402,0.277,38.287
"plot5_amb_tri_sla_07",5,"amb","tri",7,"n","imagej",130.322,10.3,NA,0.2523,516.536,51.654,NA,"6/8/24 12:21",66.15,49,62,0.259,0.92,0.67,23.507,12.939,0.063,0.067,0.87,-0.995,-0.084,1.315,-0.232,0.191,37.08
"plot5_amb_tri_sla_08",5,"amb","tri",8,"n","imagej",368.695,14.7,NA,0.8922,413.243,41.324,"no leaf tip on some leaves (wilted off)","6/8/24 12:22",65.59,51,60.67,0.222,0.39,0.32,9.449,16.053,0.075,0.054,0.871,2.851,0.162,0.702,0.137,0.284,46.146
"plot5_amb_tri_sla_09",5,"amb","tri",9,"n","imagej",485.707,15.4,NA,1.3335,364.235,36.423,"no leaf tip on some leaves (wilted off)","6/8/24 12:28",59.5,48,64,0.193,1.77,-0.33,9.714,19.369,-0.076,0.053,1.023,0.665,0.546,0.432,0.022,-0.293,50.064
"plot5_weed_mai_sla_01",5,"weed","mai",1,"n","manual",242.926,12.1,25.7,0.5893,412.228,41.223,NA,"6/27/24 12:38",58.11,49,59.67,0.157,0.35,-0.1,8.149,25.245,-0.027,0.039,0.988,0.411,0.257,0.302,0.44,-0.14,38.525
"plot5_weed_mai_sla_02",5,"weed","mai",2,"n","manual",842.614,19.8,63.5,2.5495,330.502,33.05,NA,"6/27/24 12:47",58.79,43,59.33,0.269,0.51,-7.09,1749.81,12.287,-0.009,0.076,0.933,0.97,0.049,0.867,0.084,-0.025,39.328
"plot5_weed_mai_sla_03",5,"weed","mai",3,"n","manual",420.017,15.9,47.9,1.055,398.12,39.812,NA,"6/27/24 12:56",58.28,41,58.67,0.296,0.28,-2.53,803.082,10.58,-0.007,0.087,0.92,0.411,0.201,0.348,0.451,-0.016,37.035
"plot5_weed_mai_sla_04",5,"weed","mai",4,"n","manual",922.23,19.9,60.3,2.6356,349.913,34.991,NA,"6/27/24 13:00",57.78,42,56,0.273,0.86,0.31,21.924,11.99,0.031,0.075,0.895,0.711,-0.176,-0.054,1.23,0.085,40.708
"plot5_weed_mai_sla_05",5,"weed","mai",5,"n","manual",1009.39,20.3,70.7,2.8101,359.201,35.92,NA,"6/27/24 13:06",60.63,45,59.33,0.258,0.42,0.07,7.582,13.046,0.021,0.07,0.909,0.427,0.063,0.304,0.633,0.063,42.193
"plot5_weed_mai_sla_06",5,"weed","mai",6,"n","manual",123.647,10,18.7,0.3137,394.157,39.416,NA,"6/27/24 13:11",60.57,49,60.33,0.191,0.33,0.03,14.89,19.661,0.004,0.048,0.948,0.307,0.034,-0.012,0.978,0.017,38.368
"plot5_weed_mai_sla_07",5,"weed","mai",7,"n","manual",258.4,13,31.3,0.7079,365.023,36.502,NA,"6/27/24 13:14",57.94,43,60.33,0.258,0.31,-0.33,18.131,13.041,-0.041,0.074,0.967,0.525,0.288,0.569,0.143,-0.114,38.001
"plot5_weed_tri_sla_01",5,"weed","tri",1,"n","imagej",424.077,14.5,NA,0.9797,432.864,43.286,NA,"6/8/24 9:50",58.94,49,61,0.169,0.78,-0.09,5.999,23.046,-0.035,0.043,0.992,-8.996,-0.033,1.009,0.024,-0.166,44.695
"plot5_weed_tri_sla_10",5,"weed","tri",10,"n","imagej",504.915,16.5,NA,1.1743,429.971,42.997,NA,"6/8/24 12:44",60,54,59.67,0.1,1.87,0.02,8.293,42.92,0.006,0.023,0.972,3.534,0.125,1.193,-0.317,0.05,50.847
"plot5_weed_tri_sla_02",5,"weed","tri",2,"n","imagej",592.447,16.5,NA,1.4003,423.086,42.309,NA,"6/8/24 9:52",63.97,45,61.67,0.297,1.17,0.18,10.822,10.575,0.036,0.083,0.881,0.104,1.387,-4.25,3.863,0.089,38.135
"plot5_weed_tri_sla_03",5,"weed","tri",3,"n","imagej",380.955,15.2,NA,0.8034,474.178,47.418,NA,"6/8/24 10:28",57.06,43,59.33,0.246,1.03,-0.21,11.461,13.929,-0.04,0.07,0.97,0.229,0.24,-0.485,1.245,-0.117,38.876
"plot5_weed_tri_sla_04",5,"weed","tri",4,"n","imagej",381.454,14.5,NA,0.8761,435.4,43.54,NA,"6/8/24 10:32",60.34,48,59.33,0.205,2.67,0.05,7.084,17.982,0.017,0.052,0.932,4.896,0.084,2.317,-1.401,0.066,47.167
"plot5_weed_tri_sla_05",5,"weed","tri",5,"n","imagej",357.263,14.2,NA,0.7587,470.888,47.089,NA,"6/8/24 12:30",59.5,49,62.33,0.176,0.4,-0.22,10.155,21.773,-0.048,0.046,1.002,0.133,0.415,-7.48,8.065,-0.212,38.251
"plot5_weed_tri_sla_06",5,"weed","tri",6,"n","imagej",300.199,16.3,NA,0.6406,468.622,46.862,NA,"6/8/24 12:31",60.12,51,60.67,0.152,0.8,-0.02,4.959,26.295,-0.009,0.037,0.972,3.664,0.514,0.772,-0.286,-0.051,43.544
"plot5_weed_tri_sla_07",5,"weed","tri",7,"n","imagej",515.181,16.3,NA,1.1292,456.235,45.624,NA,"6/8/24 12:36",60.07,50,60.67,0.168,0.63,-0.06,13.884,23.22,-0.01,0.042,0.968,0.154,0.852,-0.281,0.429,-0.048,44.66
"plot5_weed_tri_sla_08",5,"weed","tri",8,"n","imagej",497.588,15.3,NA,1.1522,431.859,43.186,NA,"6/8/24 12:38",61.96,49,61.33,0.209,0.5,0.08,17.531,17.455,0.01,0.054,0.936,1.198,0.067,0.528,0.406,0.038,43.058
"plot5_weed_tri_sla_09",5,"weed","tri",9,"n","imagej",531.691,17.2,NA,1.2036,441.751,44.175,NA,"6/8/24 12:41",62.24,48,61,0.229,1.25,0.07,8.032,15.447,0.02,0.06,0.92,-3.887,-0.907,3.072,-1.164,0.069,44.868
"plot6_amb_mai_sla_01",6,"amb","mai",1,"n","manual",367.017,14.1,41.3,0.9908,370.425,37.042,NA,"6/28/24 10:27",58.53,47,59,0.197,0.42,-0.07,20.082,18.885,-0.008,0.051,0.957,-0.418,-0.018,1.324,-0.306,-0.032,38.31
"plot6_amb_mai_sla_10",6,"amb","mai",10,"n","manual",355.685,13.4,31,1.1197,317.661,31.766,NA,"6/28/24 12:11",60.7,47,60.67,0.226,0.13,0.02,41.149,15.737,0.001,0.06,0.94,0.654,0.179,0.78,0.041,0.002,37.062
"plot6_amb_mai_sla_02",6,"amb","mai",2,"n","manual",547.439,16.3,46.7,1.5593,351.08,35.108,NA,"6/28/24 10:34",56.94,51,57.67,0.104,0.54,-0.07,11.275,40.868,-0.013,0.024,0.988,0.502,0.389,0.64,-0.029,-0.107,41.845
"plot6_amb_mai_sla_03",6,"amb","mai",3,"n","manual",154.083,12.3,22.3,0.3818,403.57,40.357,NA,"6/28/24 10:41",63.6,43,56,0.324,0.53,0.42,7.748,9.185,0.12,0.086,0.794,0.387,0.128,0.206,0.667,0.283,46.566
"plot6_amb_mai_sla_04",6,"amb","mai",4,"n","manual",848.388,19.1,66.1,2.4069,352.482,35.248,NA,"6/28/24 10:50",57.33,45,59.33,0.215,0.63,-0.26,16.625,16.805,-0.035,0.058,0.977,-0.575,-0.043,1.584,-0.54,-0.123,46.847
"plot6_amb_mai_sla_05",6,"amb","mai",5,"n","manual",286.042,14.1,32.1,0.8179,349.727,34.973,NA,"6/28/24 10:56",60.29,49,58.67,0.187,0.44,0.1,8.09,20.172,0.027,0.046,0.927,7.827,0.015,0.98,0.005,0.12,44.062
"plot6_amb_mai_sla_06",6,"amb","mai",6,"n","manual",307.377,14.6,41.2,0.7907,388.74,38.874,NA,"6/28/24 11:52",57.11,51,57,0.107,0.42,0,4.344,39.726,0.002,0.025,0.974,1.046,0.08,0.59,0.33,0.016,44.878
"plot6_amb_mai_sla_07",6,"amb","mai",7,"n","manual",447.067,14.7,45.5,1.2225,365.699,36.57,NA,"6/28/24 11:57",56.39,48,60.33,0.149,0.53,-0.32,10.081,26.923,-0.07,0.038,1.032,0.131,-0.08,5.825,-4.745,-0.374,44.545
"plot6_amb_mai_sla_08",6,"amb","mai",8,"n","manual",240.044,12,26.9,0.6565,365.642,36.564,NA,"6/28/24 12:02",65.84,49,57.33,0.256,0.64,0.55,9.48,13.201,0.129,0.061,0.81,0.64,1.031,-0.666,0.635,0.432,34.938
"plot6_amb_mai_sla_09",6,"amb","mai",9,"n","manual",958.588,20.5,72.5,2.8389,337.662,33.766,NA,"6/28/24 12:05",59.9,47,62.33,0.215,0.71,-1.11,60.111,16.776,-0.041,0.059,0.982,1.377,-0.016,0.552,0.464,-0.142,46.919
"plot6_amb_tri_sla_01",6,"amb","tri",1,"n","imagej",204.612,10.7,NA,0.4187,488.684,48.868,NA,"6/7/24 15:17",59.67,42,62.67,0.296,0.26,-0.09,4.07,10.602,-0.05,0.091,0.96,0.622,0.185,0.515,0.3,-0.114,41.273
"plot6_amb_tri_sla_10",6,"amb","tri",10,"n","imagej",358.7,14.6,NA,0.7727,464.216,46.422,NA,"6/7/24 15:36",63.11,46,61,0.271,0.32,0.12,8.295,12.122,0.033,0.074,0.893,-0.13,-5.897,7.089,-0.192,0.093,41.775
"plot6_amb_tri_sla_02",6,"amb","tri",2,"n","imagej",102.034,9.5,NA,0.2048,498.213,49.821,NA,"6/7/24 15:20",60.65,42,59.67,0.307,0.44,0.03,3.819,9.992,0.016,0.09,0.894,0.709,-0.028,-0.112,1.14,0.037,47.383
"plot6_amb_tri_sla_03",6,"amb","tri",3,"n","imagej",324.373,15.1,NA,0.6734,481.694,48.169,NA,"6/7/24 15:22",66.42,45,61.67,0.322,0.51,0.28,8.756,9.254,0.072,0.091,0.838,0.577,0.084,0.681,0.235,0.162,40.281
"plot6_amb_tri_sla_04",6,"amb","tri",4,"n","imagej",221.002,12,NA,0.5472,403.878,40.388,NA,"6/7/24 15:25",64.64,50,61,0.226,0.4,0.48,19.038,15.671,0.056,0.057,0.887,0.493,-0.015,3.566,-2.551,0.204,41.863
"plot6_amb_tri_sla_05",6,"amb","tri",5,"n","imagej",237.257,11.4,NA,0.5937,399.624,39.962,NA,"6/7/24 15:28",60.6,43,62.33,0.29,0.41,-0.16,12.105,10.924,-0.029,0.086,0.942,-18.598,0.053,0.954,-0.007,-0.068,42.251
"plot6_amb_tri_sla_06",6,"amb","tri",6,"n","imagej",385.469,14.7,NA,0.9204,418.806,41.881,NA,"6/7/24 15:31",63.62,47,59,0.261,0.49,0.59,17.973,12.803,0.073,0.067,0.86,-0.366,-0.925,2.14,-0.215,0.221,40.63
"plot6_amb_tri_sla_07",6,"amb","tri",7,"n","imagej",170.397,11.5,NA,0.3964,429.861,42.986,NA,"6/7/24 15:33",58.5,51,60.33,0.128,0.17,-0.16,11.125,32.184,-0.031,0.031,1,2.861,-0.181,0.764,0.417,-0.207,40.62
"plot6_amb_tri_sla_08",6,"amb","tri",8,"n","imagej",521.119,15.2,NA,1.3852,376.205,37.62,NA,"6/7/24 15:34",58.83,46,60,0.218,0.42,-0.11,12.27,16.496,-0.02,0.058,0.962,1.14,0.088,0.555,0.357,-0.07,46.432
"plot6_amb_tri_sla_09",6,"amb","tri",9,"n","imagej",133.912,9.6,NA,0.2917,459.074,45.907,NA,"6/7/24 15:35",58.85,53,62.67,0.099,0.71,-0.29,10.052,43.176,-0.065,0.024,1.041,0.569,0.304,0.886,-0.19,-0.551,45.679
"plot6_weed_mai_sla_01",6,"weed","mai",1,"n","manual",795.705,19.1,67.5,2.1117,376.808,37.681,NA,"6/28/24 11:04",58.27,49,59,0.159,0.7,-0.02,3.75,24.803,-0.013,0.039,0.973,1.772,-0.389,1.375,0.014,-0.066,43.906
"plot6_weed_mai_sla_10",6,"weed","mai",10,"n","manual",110.464,10.3,18.9,0.2535,435.755,43.576,NA,"6/28/24 12:50",57.67,46,57.67,0.202,0.23,0,6.083,18.241,0,0.052,0.948,0.454,0.325,0.496,0.179,0,42.097
"plot6_weed_mai_sla_02",6,"weed","mai",2,"n","manual",619.194,17.1,55.9,1.7059,362.972,36.297,NA,"6/28/24 11:10",57.89,44,58.67,0.24,0.83,-0.03,5.504,14.46,-0.013,0.066,0.948,-0.368,0.913,3.696,-3.609,-0.042,46.113
"plot6_weed_mai_sla_03",6,"weed","mai",3,"n","manual",119.864,10.1,17,0.3068,390.691,39.069,NA,"6/28/24 11:16",56.61,51,59.67,0.099,0.41,-1.01,41.645,43.355,-0.054,0.024,1.03,0.53,-0.284,1.742,-0.459,-0.465,43.749
"plot6_weed_mai_sla_04",6,"weed","mai",4,"n","manual",370.077,14.6,44.7,0.9708,381.208,38.121,NA,"6/28/24 11:33",57.72,50,58.67,0.134,0.48,-0.07,9.932,30.597,-0.016,0.032,0.984,0.778,0.068,0.794,0.138,-0.104,43.018
"plot6_weed_mai_sla_05",6,"weed","mai",5,"n","manual",291.977,13.5,31,0.8048,362.794,36.279,NA,"6/28/24 11:38",60.38,45,59,0.255,0.4,0.95,91.821,13.275,0.023,0.068,0.909,0.745,0.086,0.737,0.177,0.069,41.339
"plot6_weed_mai_sla_06",6,"weed","mai",6,"n","manual",200.412,11.1,26.1,0.5546,361.363,36.136,NA,"6/28/24 12:17",58.9,49,61,0.168,0.31,-0.17,10.557,23.149,-0.036,0.043,0.993,0.74,0.368,0.666,-0.034,-0.17,44.817
"plot6_weed_mai_sla_07",6,"weed","mai",7,"n","manual",554.264,16.6,46.4,1.5437,359.049,35.905,NA,"6/28/24 12:21",57.83,45,63.33,0.222,0.52,-0.37,8.636,16.112,-0.095,0.064,1.031,0.74,0.191,0.784,0.024,-0.305,43.25
"plot6_weed_mai_sla_08",6,"weed","mai",8,"n","manual",448.133,15,40.9,1.1861,377.821,37.782,NA,"6/28/24 12:26",62.87,45,59.33,0.284,0.51,0.34,13.334,11.292,0.056,0.077,0.867,-1.642,-0.514,1.023,0.491,0.15,44.793
"plot6_weed_mai_sla_09",6,"weed","mai",9,"n","manual",945.739,21.2,67.7,2.9023,325.858,32.586,NA,"6/28/24 12:35",62.92,48,58,0.237,1.02,0.14,3.861,14.704,0.078,0.059,0.863,0.618,0.443,1.231,-0.673,0.273,51.646
"plot6_weed_tri_sla_01",6,"weed","tri",1,"n","imagej",342.744,14.8,NA,0.8455,405.374,40.537,NA,"6/7/24 11:49",64.66,53,59.33,0.18,0.92,0.44,11.976,21.189,0.082,0.041,0.876,-7.49,0.044,1.795,-0.838,0.408,42.254
"plot6_weed_tri_sla_10",6,"weed","tri",10,"n","imagej",71.003,7.7,NA,0.1302,545.338,54.534,NA,"6/7/24 15:12",58,47,62.67,0.19,0.24,-0.13,3.679,19.851,-0.08,0.052,1.029,-0.066,-2.453,6.708,-3.256,-0.318,33.626
"plot6_weed_tri_sla_02",6,"weed","tri",2,"n","imagej",143.186,10.5,NA,0.2592,552.415,55.242,NA,"6/7/24 11:52",57.67,48,61.67,0.168,0.47,-0.57,18.203,23.232,-0.069,0.044,1.025,1.175,-0.716,1.736,-0.02,-0.322,35.583
"plot6_weed_tri_sla_03",6,"weed","tri",3,"n","imagej",449.312,16.9,NA,0.9425,476.724,47.672,NA,"6/7/24 11:57",56.83,46,58.67,0.191,0.18,-0.27,18.837,19.721,-0.032,0.05,0.982,0.099,5.097,-4.72,0.623,-0.133,34.541
"plot6_weed_tri_sla_04",6,"weed","tri",4,"n","imagej",235.058,13.3,NA,0.4844,485.256,48.526,NA,"6/7/24 12:16",62.96,52,61.67,0.174,0.16,0.2,22.666,22.162,0.02,0.042,0.937,0.442,0.016,-0.06,1.044,0.099,36.975
"plot6_weed_tri_sla_05",6,"weed","tri",5,"n","imagej",573.041,17.3,NA,1.5324,373.95,37.395,NA,"6/7/24 12:23",60.46,48,59.33,0.206,0.21,0.35,40.621,17.806,0.019,0.052,0.929,-3.467,-0.006,1.046,-0.039,0.073,42.2
"plot6_weed_tri_sla_06",6,"weed","tri",6,"n","imagej",197.879,12.8,NA,0.4252,465.379,46.538,NA,"6/7/24 13:18",63.84,53,62.33,0.17,0.53,0.72,67.017,22.858,0.024,0.041,0.935,-0.578,1.481,-1.611,1.13,0.118,35.808
"plot6_weed_tri_sla_07",6,"weed","tri",7,"n","imagej",334.801,14.7,NA,0.8248,405.918,40.592,NA,"6/7/24 13:40",57.61,45,61,0.219,0.55,-0.56,21.228,16.413,-0.059,0.061,0.998,-0.911,-1.43,1.536,0.893,-0.198,44.454
"plot6_weed_tri_sla_08",6,"weed","tri",8,"n","imagej",151.341,11.9,NA,0.2588,584.78,58.478,NA,"6/7/24 15:05",59.11,46,61.33,0.222,0.2,-0.13,7.621,16.121,-0.038,0.061,0.977,0.339,-0.027,0.278,0.749,-0.127,38.039
"plot6_weed_tri_sla_09",6,"weed","tri",9,"n","imagej",364.796,12.8,NA,0.6969,523.455,52.346,NA,"6/7/24 15:09",59.17,51,61,0.138,0.41,-0.08,5.699,29.475,-0.031,0.034,0.997,-0.453,0.207,1.416,-0.624,-0.188,44.783
